,precision,recall,f1-score,support
LDPE,0.7982832618025751,0.62,0.6979362101313321,600.0
PLA,0.9425837320574163,0.9833610648918469,0.9625407166123778,601.0
PP,0.899103139013453,0.6672212978369384,0.7659980897803247,601.0
PS,0.9185185185185185,0.8252911813643927,0.8694127957931639,601.0
PVC,0.8256,0.8585690515806988,0.8417618270799347,601.0
XPS,0.965034965034965,0.9169435215946844,0.9403747870528109,602.0
oxo-PE,0.8495297805642633,0.8988391376451078,0.8734891216760677,603.0
uv-PE,0.6064659977703456,0.9036544850498339,0.7258172114743162,602.0
accuracy,0.8343379754728747,0.8343379754728747,0.8343379754728747,0.8343379754728747
macro avg,0.8506399243451921,0.8342349674954379,0.834666344950041,4811.0
weighted avg,0.8506233700922501,0.8343379754728747,0.8347102516216057,4811.0
