,precision,recall,f1-score,support
LDPE,0.6628895184135978,0.39,0.4910807974816369,600.0
PLA,0.7280593325092707,0.9800332778702163,0.8354609929078014,601.0
PP,0.6312594840667678,0.6921797004991681,0.6603174603174603,601.0
PS,0.719047619047619,0.502495840266223,0.5915768854064642,601.0
PVC,0.8194233687405159,0.8985024958402662,0.8571428571428571,601.0
XPS,0.9385665529010239,0.9136212624584718,0.9259259259259259,602.0
oxo-PE,0.6574585635359116,0.7893864013266998,0.7174076865109269,603.0
uv-PE,0.5424292845257903,0.5415282392026578,0.541978387364921,602.0
accuracy,0.7135730617335273,0.7135730617335273,0.7135730617335273,0.7135730617335273
macro avg,0.7123917154675621,0.7134684021829629,0.7026113741322493,4811.0
weighted avg,0.7123908525076125,0.7135730617335273,0.702674522077881,4811.0
