,precision,recall,f1-score,support
LDPE,0.8016032064128257,0.6666666666666666,0.7279344858962693,600.0
PLA,0.9408945686900958,0.9800332778702163,0.9600651996740016,601.0
PP,0.85,0.7071547420965059,0.7720254314259763,601.0
PS,0.9017857142857143,0.8402662229617305,0.8699397071490095,601.0
PVC,0.8888888888888888,0.7720465890183028,0.8263579697239537,601.0
XPS,0.9424342105263158,0.9518272425249169,0.947107438016529,602.0
oxo-PE,0.7873563218390804,0.9087893864013267,0.8437259430331023,603.0
uv-PE,0.60625,0.8056478405315615,0.6918687589158345,602.0
accuracy,0.8291415506131782,0.8291415506131782,0.8291415506131782,0.8291415506131782
macro avg,0.8399016138303651,0.8290539960089034,0.8298781167293345,4811.0
weighted avg,0.8398604766044869,0.8291415506131782,0.8299007438852095,4811.0
