Model,Stopped Epoch,Train Acc,Val Acc,Test Acc,Test F1 (Weighted),Test Recall (Weighted),Test AUC,Test AUC (Macro),Training Time (s)
LeNet-5,34,0.5305614471435547,0.5433250665664673,0.48555395007133484,0.47374609845523036,0.48555393889004367,0.8698215073348301,0.869776323617665,309.6500391960144
Custom_Modern_Net,26,0.7521371245384216,0.8171641826629639,0.70775306224823,0.6973458882803973,0.7077530658906672,0.9602950059630585,0.9618953499791681,992.3214137554169
ResNet50-Scratch,33,0.8417145013809204,0.8076285123825073,0.7135730385780334,0.702674522077881,0.7135730617335273,0.9581322982828168,0.9550276568735943,1828.5199859142303
VGG16,24,0.8685234785079956,0.8503316640853882,0.8291415572166443,0.8299007438852095,0.8291415506131782,0.98502140602391,0.9818951577308782,725.8994588851929
VGG19,32,0.8708512187004089,0.8507462739944458,0.8343379497528076,0.8347102516216057,0.8343379754728747,0.9853757664938835,0.9840608936759867,1107.6883380413055
ResNet50,25,0.9304892420768738,0.8992537260055542,0.8917065262794495,0.8922186776432903,0.8917065059239243,0.993633901982512,0.9912855930232157,588.6498799324036
InceptionV3,30,0.8509050011634827,0.8403814435005188,0.8405736684799194,0.8397680803616847,0.8405736853045105,0.9863518833567553,0.9833762016276062,500.0748498439789
EfficientNetB0,26,0.8808845281600952,0.8689883947372437,0.8580336570739746,0.859012529204991,0.8580336728330908,0.9903569618147317,0.9891202898933489,471.8574185371399
