,precision,recall,f1-score,support
LDPE,0.7062600321027287,0.7333333333333333,0.7195421095666394,600.0
PLA,0.9390048154093098,0.9733777038269551,0.9558823529411765,601.0
PP,0.8856015779092702,0.7470881863560732,0.8104693140794224,601.0
PS,0.9377224199288257,0.8768718801996672,0.9062768701633706,601.0
PVC,0.9471544715447154,0.7753743760399334,0.8526989935956084,601.0
XPS,1.0,0.973421926910299,0.9865319865319865,602.0
oxo-PE,0.8097982708933718,0.9320066334991708,0.866615265998458,603.0
uv-PE,0.7085635359116023,0.8521594684385382,0.7737556561085973,602.0
accuracy,0.8580336728330908,0.8580336728330908,0.8580336728330908,0.8580336728330908
macro avg,0.866763140462478,0.8579541885754962,0.8589715686231574,4811.0
weighted avg,0.8667676323818727,0.8580336728330908,0.859012529204991,4811.0
