,precision,recall,f1-score,support
LDPE,0.7359098228663447,0.7616666666666667,0.7485667485667485,600.0
PLA,0.9444444444444444,0.9900166389351082,0.966693744922827,601.0
PP,0.9764150943396226,0.6888519134775375,0.8078048780487805,601.0
PS,0.9783393501805054,0.9018302828618968,0.9385281385281385,601.0
PVC,0.9378068739770867,0.9534109816971714,0.9455445544554455,601.0
XPS,0.9656301145662848,0.9800664451827242,0.9727947238252267,602.0
oxo-PE,0.9449838187702265,0.9684908789386402,0.9565929565929566,603.0
uv-PE,0.683288409703504,0.8421926910299004,0.7544642857142857,602.0
accuracy,0.8858865100810642,0.8858865100810642,0.8858865100810642,0.8858865100810642
macro avg,0.8958522411060024,0.8858158123487057,0.8863737538318012,4811.0
weighted avg,0.8958762318803999,0.8858865100810642,0.8864221339840903,4811.0
