epoch,accuracy,loss,val_accuracy,val_loss
0,0.7772203683853149,0.6241531372070312,0.8718905448913574,0.3508414924144745
1,0.8488983511924744,0.40967005491256714,0.8762437701225281,0.35825255513191223
2,0.873580276966095,0.34377560019493103,0.8727197051048279,0.35584378242492676
3,0.8981819748878479,0.28146207332611084,0.8909618854522705,0.321045458316803
4,0.9052855372428894,0.2580258846282959,0.8905472755432129,0.32257941365242004
5,0.909098207950592,0.2503634989261627,0.8886815905570984,0.3286793529987335
6,0.9182084798812866,0.2312006652355194,0.8884742856025696,0.33100467920303345
7,0.9133924841880798,0.2370007336139679,0.8911691308021545,0.32953429222106934
8,0.9156399369239807,0.2328725904226303,0.8911691308021545,0.3300285339355469
9,0.9191315174102783,0.2258237600326538,0.8915837407112122,0.33072781562805176
10,0.9196131229400635,0.22430537641048431,0.8911691308021545,0.3297501504421234
11,0.9201348423957825,0.22302740812301636,0.8919983506202698,0.3295135200023651
12,0.9151583313941956,0.22815413773059845,0.8913764357566833,0.3300788402557373
13,0.9174860715866089,0.22717450559139252,0.8913764357566833,0.33047476410865784
14,0.919532835483551,0.223643958568573,0.8913764357566833,0.3306719958782196
15,0.9168840646743774,0.2284385710954666,0.8919983506202698,0.32997602224349976
16,0.9177669882774353,0.22564752399921417,0.8922056555747986,0.32872676849365234
17,0.9189308285713196,0.22426965832710266,0.8928275108337402,0.3290415406227112
18,0.919011116027832,0.2249060571193695,0.893034815788269,0.3285110890865326
19,0.9196934103965759,0.2263304740190506,0.8919983506202698,0.3298088312149048
20,0.9180880784988403,0.22432254254817963,0.891791045665741,0.32987308502197266
21,0.9167636632919312,0.22928760945796967,0.891791045665741,0.3289148211479187
22,0.9214993715286255,0.222720667719841,0.8919983506202698,0.3301359713077545
23,0.9196131229400635,0.221664696931839,0.891791045665741,0.3299877345561981
