,precision,recall,f1-score,support
LDPE,0.7686274509803922,0.6533333333333333,0.7063063063063063,600.0
PLA,0.9472843450479234,0.9866888519134775,0.9665851670741646,601.0
PP,0.8876889848812095,0.6838602329450915,0.7725563909774437,601.0
PS,0.9168207024029574,0.8252911813643927,0.8686514886164624,601.0
PVC,0.8346972176759411,0.848585690515807,0.8415841584158416,601.0
XPS,0.9701230228471002,0.9169435215946844,0.9427839453458582,602.0
oxo-PE,0.8262839879154078,0.9071310116086235,0.8648221343873518,603.0
uv-PE,0.6489746682750301,0.893687707641196,0.7519217330538085,602.0
accuracy,0.8395344003325712,0.8395344003325712,0.8395344003325712,0.8395344003325712
macro avg,0.8500625475032452,0.8394401913645757,0.8394014155221546,4811.0
weighted avg,0.850052747165158,0.8395344003325712,0.8394429535380145,4811.0
