,precision,recall,f1-score,support
LDPE,0.4494949494949495,0.445,0.4472361809045226,600.0
PLA,0.5462392108508015,0.7371048252911814,0.6274787535410765,601.0
PP,0.6075697211155379,0.5074875207986689,0.5530371713508613,601.0
PS,0.3023255813953488,0.36772046589018303,0.33183183183183185,601.0
PVC,0.5238095238095238,0.6589018302828619,0.5836403831982314,601.0
XPS,0.5798165137614679,0.5249169435215947,0.5510026155187445,602.0
oxo-PE,0.47767857142857145,0.5323383084577115,0.5035294117647059,603.0
uv-PE,0.605,0.2009966777408638,0.30174563591022446,602.0
accuracy,0.4967782165869882,0.4967782165869882,0.4967782165869882,0.4967782165869882
macro avg,0.5114917589820251,0.4968083214978832,0.4874377480025248,4811.0
weighted avg,0.511524226957535,0.4967782165869882,0.48742740870716966,4811.0
