,precision,recall,f1-score,support
LDPE,0.7295208655332303,0.7866666666666666,0.7570168404170008,600.0
PLA,0.9767441860465116,0.978369384359401,0.9775561097256857,601.0
PP,0.9177330895795247,0.8352745424292846,0.8745644599303136,601.0
PS,0.9927667269439421,0.913477537437604,0.951473136915078,601.0
PVC,0.9614678899082569,0.8718801996672213,0.9144851657940664,601.0
XPS,1.0,0.9700996677740864,0.984822934232715,602.0
oxo-PE,0.8786549707602339,0.9966832504145937,0.933954933954934,603.0
uv-PE,0.7904468412942989,0.8521594684385382,0.8201438848920863,602.0
accuracy,0.9006443566826023,0.9006443566826023,0.9006443566826023,0.9006443566826023
macro avg,0.9059168212582498,0.9005763396484244,0.9017521832327351,4811.0
weighted avg,0.9059377078625955,0.9006443566826023,0.9017959586010409,4811.0
