epoch,accuracy,loss,val_accuracy,val_loss
0,0.6823855042457581,0.8696786761283875,0.809286892414093,0.5504502058029175
1,0.7513344287872314,0.6695477962493896,0.8030679821968079,0.5279342532157898
2,0.7736886739730835,0.6066461205482483,0.8177860975265503,0.4828054904937744
3,0.7878957986831665,0.5703954100608826,0.8182006478309631,0.479935884475708
4,0.793434202671051,0.5506658554077148,0.829809308052063,0.47154608368873596
5,0.801661491394043,0.5278568267822266,0.8289800882339478,0.45799490809440613
6,0.8116145730018616,0.507234513759613,0.8310530781745911,0.4555356502532959
7,0.8117349743843079,0.5003291964530945,0.8198590278625488,0.4741992950439453
8,0.8149857521057129,0.49017852544784546,0.8358209133148193,0.4477221369743347
9,0.8190793395042419,0.48342978954315186,0.8306384682655334,0.45191627740859985
10,0.822972297668457,0.47609007358551025,0.81965172290802,0.47243979573249817
11,0.842998743057251,0.4187179207801819,0.8447346687316895,0.4323655962944031
12,0.8496207594871521,0.4028186798095703,0.8451492786407471,0.43538588285446167
13,0.8529919385910034,0.3995135724544525,0.8443200588226318,0.43392205238342285
14,0.8569250106811523,0.38530832529067993,0.8459784388542175,0.4376111328601837
15,0.8577276468276978,0.38649097084999084,0.8476368188858032,0.4343520402908325
16,0.8602159023284912,0.3780956268310547,0.8470149040222168,0.43633052706718445
17,0.8595737814903259,0.38007795810699463,0.8451492786407471,0.43719056248664856
18,0.8592526912689209,0.38234198093414307,0.8451492786407471,0.4371185004711151
19,0.8606573939323425,0.37751543521881104,0.8451492786407471,0.4367314577102661
20,0.8586908578872681,0.3818175494670868,0.8447346687316895,0.4372621476650238
21,0.8585704565048218,0.38002800941467285,0.8445273637771606,0.4378453493118286
22,0.8598145842552185,0.38261842727661133,0.8449419736862183,0.4368129372596741
23,0.8614199161529541,0.37660884857177734,0.8451492786407471,0.4370218515396118
24,0.8606573939323425,0.3774901032447815,0.844112753868103,0.4377889335155487
25,0.8604567050933838,0.3786827027797699,0.8451492786407471,0.4375884532928467
26,0.8592125773429871,0.3778999149799347,0.8451492786407471,0.43764060735702515
27,0.8600955009460449,0.3807949423789978,0.8443200588226318,0.4373382031917572
28,0.8620620369911194,0.3727715015411377,0.8451492786407471,0.43758249282836914
29,0.8563230037689209,0.38141727447509766,0.8451492786407471,0.43716147541999817
30,0.8587309718132019,0.3807796537876129,0.8445273637771606,0.4371350407600403
31,0.8592125773429871,0.3770754039287567,0.8449419736862183,0.4376125633716583
