Model,Stopped Epoch,Train Acc,Val Acc,Test Acc,Test F1 (Weighted),Test Recall (Weighted),Test AUC,Test AUC (Macro),Training Time (s)
LeNet-5,33,0.5782397389411926,0.5970149040222168,0.4967782199382782,0.48742740870716966,0.4967782165869882,0.8783743872139477,0.8731836240698052,285.4911127090454
Custom_Modern_Net,33,0.8261026740074158,0.815713107585907,0.7963001728057861,0.7923428201372876,0.796300145499896,0.976760826393292,0.9731191130290129,1206.3954138755798
ResNet50-Scratch,35,0.814102828502655,0.8101161122322083,0.7218873500823975,0.7136640070440806,0.7218873415090418,0.9613761499526043,0.9579762127174707,1899.5587635040283
VGG16,53,0.872015118598938,0.8447346687316895,0.8310122489929199,0.8316765153727501,0.8310122635626689,0.9843998378793212,0.9810503634960693,1612.5453789234161
VGG19,37,0.8847774863243103,0.8524046540260315,0.8395344018936157,0.8394429535380145,0.8395344003325712,0.9865117432042222,0.9851106731329278,1301.359142780304
ResNet50,24,0.9192920327186584,0.893034815788269,0.8858864903450012,0.8864221339840903,0.8858865100810642,0.9927420709858207,0.9900582078948593,557.604329586029
InceptionV3,32,0.864189088344574,0.8476368188858032,0.8490958213806152,0.8482272234290158,0.8490958220744128,0.9874680816504146,0.9844718115536248,533.6411435604095
EfficientNetB0,28,0.8819681406021118,0.8696103096008301,0.8607358336448669,0.8616164192981012,0.8607358137601331,0.9909221912520492,0.9900541791847617,506.8792746067047
