,precision,recall,f1-score,support
LDPE,0.8041958041958042,0.575,0.6705539358600583,600.0
PLA,0.6976190476190476,0.9750415973377704,0.813324080499653,601.0
PP,0.6568421052631579,0.519134775374376,0.5799256505576208,601.0
PS,0.960820895522388,0.8569051580698835,0.9058927000879508,601.0
PVC,0.8432,0.8768718801996672,0.8597063621533442,601.0
XPS,1.0,0.9219269102990033,0.9593777009507347,602.0
oxo-PE,0.8607038123167156,0.9734660033167496,0.9136186770428015,603.0
uv-PE,0.6038863976083707,0.6710963455149501,0.6357199055861527,602.0
accuracy,0.796300145499896,0.796300145499896,0.796300145499896,0.796300145499896
macro avg,0.8034085078156854,0.7961803337640501,0.7922648765922895,4811.0
weighted avg,0.8034315534807445,0.796300145499896,0.7923428201372876,4811.0
