,precision,recall,f1-score,support
LDPE,0.778675282714055,0.8033333333333333,0.7908121410992617,600.0
PLA,0.9124423963133641,0.9883527454242929,0.9488817891373802,601.0
PP,0.9830508474576272,0.7720465890183028,0.8648648648648649,601.0
PS,0.9651162790697675,0.9667221297836939,0.9659185369908562,601.0
PVC,0.9865996649916248,0.9800332778702163,0.9833055091819699,601.0
XPS,1.0,0.9983388704318937,0.999168744804655,602.0
oxo-PE,0.9648,1.0,0.9820846905537459,603.0
uv-PE,0.8090062111801242,0.8654485049833887,0.8362760834670947,602.0
accuracy,0.9218457701101642,0.9218457701101642,0.9218457701101642,0.9218457701101642
macro avg,0.9249613352158204,0.9217844313556401,0.9214140450124786,4811.0
weighted avg,0.9249997985130181,0.9218457701101642,0.9214648785051501,4811.0
