,precision,recall,f1-score,support
LDPE,0.7966666666666666,0.3983333333333333,0.5311111111111111,600.0
PLA,0.7536423841059603,0.9467554076539102,0.8392330383480826,601.0
PP,0.6331521739130435,0.7753743760399334,0.6970830216903515,601.0
PS,0.6755407653910149,0.6755407653910149,0.6755407653910149,601.0
PVC,0.8018018018018018,0.8885191347753744,0.8429360694554064,601.0
XPS,0.922824302134647,0.9335548172757475,0.9281585466556564,602.0
oxo-PE,0.7552182163187856,0.6600331674958541,0.7044247787610619,603.0
uv-PE,0.4846029173419773,0.49667774086378735,0.49056603773584906,602.0
accuracy,0.7218873415090418,0.7218873415090418,0.7218873415090418,0.7218873415090418
macro avg,0.7279311534592372,0.7218485928536194,0.7136316711435667,4811.0
weighted avg,0.7279181423440989,0.7218873415090418,0.7136640070440806,4811.0
