,precision,recall,f1-score,support
LDPE,0.8,0.6333333333333333,0.7069767441860465,600.0
PLA,0.9442675159235668,0.9866888519134775,0.9650122050447518,601.0
PP,0.8725701943844493,0.6722129783693843,0.7593984962406015,601.0
PS,0.9295238095238095,0.8119800332778702,0.866785079928952,601.0
PVC,0.8019017432646592,0.8419301164725458,0.8214285714285714,601.0
XPS,0.9696969696969697,0.9036544850498339,0.9355116079105761,602.0
oxo-PE,0.8221225710014948,0.912106135986733,0.8647798742138365,603.0
uv-PE,0.6216530849825378,0.8870431893687708,0.731006160164271,602.0
accuracy,0.8312201205570567,0.8312201205570567,0.8312201205570567,0.8312201205570567
macro avg,0.8452169860971859,0.8311186404714936,0.8313623423897009,4811.0
weighted avg,0.8451961888073067,0.8312201205570567,0.8314028773606315,4811.0
