,precision,recall,f1-score,support
LDPE,0.5825049701789264,0.48833333333333334,0.5312783318223028,600.0
PLA,0.5706214689265536,0.8402662229617305,0.6796769851951547,601.0
PP,0.6623376623376623,0.6788685524126455,0.6705012325390304,601.0
PS,0.41040462427745666,0.47254575707154745,0.43928847641144625,601.0
PVC,0.7085889570552147,0.7687188019966722,0.7374301675977654,601.0
XPS,0.7478070175438597,0.5664451827242525,0.6446124763705104,602.0
oxo-PE,0.44837758112094395,0.5041459369817579,0.4746291959406714,603.0
uv-PE,0.48936170212765956,0.26744186046511625,0.3458646616541353,602.0
accuracy,0.5732695905217211,0.5732695905217211,0.5732695905217211,0.5732695905217211
macro avg,0.5775004979460346,0.573345705993382,0.5654101909413771,4811.0
weighted avg,0.5774628586647826,0.5732695905217211,0.5653503752326386,4811.0
