,precision,recall,f1-score,support
LDPE,0.7914614121510674,0.8033333333333333,0.7973531844499586,600.0
PLA,0.9241486068111455,0.9933444259567388,0.9574979951884522,601.0
PP,0.967741935483871,0.7487520798668885,0.8442776735459663,601.0
PS,0.9812925170068028,0.9600665557404326,0.9705634987384356,601.0
PVC,0.9866220735785953,0.9816971713810316,0.9841534612176814,601.0
XPS,0.9966777408637874,0.9966777408637874,0.9966777408637874,602.0
oxo-PE,0.9662921348314607,0.9983416252072969,0.9820554649265906,603.0
uv-PE,0.7602941176470588,0.8588039867109635,0.8065522620904836,602.0
accuracy,0.917688630222407,0.917688630222407,0.917688630222407,0.917688630222407
macro avg,0.9218163172967235,0.917627114882559,0.9173914101276694,4811.0
weighted avg,0.9218438886465745,0.917688630222407,0.9174366841908526,4811.0
