Model,Stopped Epoch,Train Acc,Val Acc,Test Acc,Test F1 (Weighted),Test Recall (Weighted),Test AUC,Test AUC (Macro),Training Time (s)
LeNet-5,36,0.667014479637146,0.6900911927223206,0.5732696056365967,0.5653503752326386,0.5732695905217211,0.9166001167744384,0.915242057343763,313.5534689426422
Custom_Modern_Net,30,0.8188786506652832,0.7968490719795227,0.7946372628211975,0.7922821053012845,0.7946372895447932,0.9754469766324657,0.9713343047581847,1115.319081068039
ResNet50-Scratch,47,0.8988240957260132,0.8694030046463013,0.8222822546958923,0.818323690758796,0.8222822697983787,0.9817240054250816,0.979717368847229,2632.6161482334137
VGG16,27,0.8815266489982605,0.846600353717804,0.8285179734230042,0.8288389513998027,0.8285179796300145,0.984350563112724,0.9813600773617823,817.911819934845
VGG19,26,0.8704097867012024,0.8397595286369324,0.8312201499938965,0.8314028773606315,0.8312201205570567,0.9852258159140024,0.9837631871901532,909.448174238205
ResNet50,24,0.9286832213401794,0.899461030960083,0.8890043497085571,0.8894261613405503,0.8890043649968822,0.9933361703073693,0.9907361100135057,562.9411859512329
InceptionV3,33,0.8668780326843262,0.8488805890083313,0.8468093872070312,0.8455664612232912,0.8468093951361463,0.987747358819122,0.9848966825713742,544.7595930099487
EfficientNetB0,26,0.8813260197639465,0.8700248599052429,0.8596965074539185,0.8604066946086217,0.8596965287881937,0.9904153465651074,0.9892937505517069,450.20977759361267
