,precision,recall,f1-score,support
LDPE,0.7357859531772575,0.7333333333333333,0.7345575959933222,600.0
PLA,0.9441786283891547,0.9850249584026622,0.9641693811074918,601.0
PP,0.965675057208238,0.7021630615640599,0.8131021194605009,601.0
PS,0.9928571428571429,0.9251247920133111,0.9577950043066322,601.0
PVC,0.9515859766277128,0.9484193011647255,0.95,601.0
XPS,0.9767054908485857,0.9750830564784053,0.9758935993349959,602.0
oxo-PE,0.9283489096573209,0.988391376451078,0.957429718875502,603.0
uv-PE,0.6880856760374833,0.8538205980066446,0.7620459599703484,602.0
accuracy,0.8890043649968822,0.8890043649968822,0.8890043649968822,0.8890043649968822
macro avg,0.897902854350362,0.8889200596767775,0.8893741723810992,4811.0
weighted avg,0.8979219760443907,0.8890043649968822,0.8894261613405503,4811.0
