,precision,recall,f1-score,support
LDPE,0.7003891050583657,0.6,0.6463195691202872,600.0
PLA,0.9534883720930233,0.9550748752079867,0.9542809642560266,601.0
PP,0.7987012987012987,0.8186356073211315,0.8085456039441249,601.0
PS,0.9296296296296296,0.8352745424292846,0.8799298860648553,601.0
PVC,0.8383233532934131,0.9317803660565723,0.8825847123719465,601.0
XPS,0.9533762057877814,0.9850498338870431,0.9689542483660131,602.0
oxo-PE,0.891459074733096,0.8308457711442786,0.8600858369098713,603.0
uv-PE,0.7161572052401747,0.8172757475083057,0.7633824670287044,602.0
accuracy,0.8468093951361463,0.8468093951361463,0.8468093951361463,0.8468093951361463
macro avg,0.8476905305670979,0.8467420929443252,0.8455104110077287,4811.0
weighted avg,0.8477339707798882,0.8468093951361463,0.8455664612232912,4811.0
