epoch,accuracy,loss,val_accuracy,val_loss
0,0.3896135091781616,1.4939979314804077,0.5288142561912537,1.1856958866119385
1,0.532046377658844,1.186242938041687,0.548922061920166,1.2069655656814575
2,0.5967010259628296,1.0339770317077637,0.6882255673408508,0.8642334938049316
3,0.6411686539649963,0.9184250235557556,0.7066749334335327,0.8149778246879578
4,0.6744391322135925,0.8356623649597168,0.6618988513946533,0.9536431431770325
5,0.7036160230636597,0.7595792412757874,0.7483416199684143,0.6368412971496582
6,0.7317895293235779,0.6979914903640747,0.7375621795654297,0.7066437602043152
7,0.7556688189506531,0.6451078653335571,0.7551824450492859,0.6825715899467468
8,0.797888994216919,0.5446109175682068,0.7678275108337402,0.6026535630226135
9,0.8057149648666382,0.5148859620094299,0.7968490719795227,0.5512704849243164
10,0.8091263175010681,0.5066493153572083,0.7891790866851807,0.5708089470863342
11,0.8176746964454651,0.493599534034729,0.771766185760498,0.6017377972602844
12,0.8212465643882751,0.47645092010498047,0.7862769365310669,0.5668562650680542
13,0.8257815837860107,0.4671819508075714,0.7839967012405396,0.5597838163375854
14,0.8277481198310852,0.46222206950187683,0.7796434760093689,0.5846312046051025
15,0.8300758600234985,0.45710933208465576,0.7858623266220093,0.579343855381012
16,0.8287915587425232,0.45734721422195435,0.7815091013908386,0.5790043473243713
17,0.8324036002159119,0.4518483281135559,0.7813017964363098,0.582259476184845
18,0.8297146558761597,0.454837441444397,0.782131016254425,0.5788520574569702
19,0.8298751711845398,0.45883870124816895,0.7802653312683105,0.5875030755996704
20,0.8284705281257629,0.45645052194595337,0.7802653312683105,0.5898879766464233
21,0.8322029113769531,0.4571976363658905,0.7815091013908386,0.586202085018158
22,0.8313601016998291,0.4581875205039978,0.782131016254425,0.5860736966133118
23,0.8286310434341431,0.4617467224597931,0.7806799411773682,0.5914453268051147
24,0.8337681293487549,0.4517585039138794,0.780887246131897,0.5916756987571716
25,0.8341694474220276,0.4549869894981384,0.782131016254425,0.5857018232345581
26,0.8296745419502258,0.4594171643257141,0.7844112515449524,0.5742115378379822
27,0.8323634266853333,0.45080190896987915,0.7802653312683105,0.593465268611908
28,0.8317614197731018,0.45395657420158386,0.7846185564994812,0.5761418342590332
29,0.8318818211555481,0.4525056779384613,0.7835820913314819,0.5794363617897034
