epoch,accuracy,loss,val_accuracy,val_loss
0,0.9188104271888733,2.165538787841797,0.9092040061950684,2.094759225845337
1,0.9290444254875183,1.8970969915390015,0.9060945510864258,1.8979063034057617
2,0.9368703961372375,1.6821415424346924,0.9015340209007263,1.7271007299423218
3,0.9434924125671387,1.5082154273986816,0.9038142561912537,1.6046375036239624
4,0.9497933387756348,1.3681695461273193,0.9137645363807678,1.4722901582717896
5,0.9526427984237671,1.2555911540985107,0.8986318111419678,1.463952660560608
6,0.9575390219688416,1.1601872444152832,0.9100331664085388,1.3414640426635742
7,0.9616727828979492,1.0782006978988647,0.9050580263137817,1.2848310470581055
8,0.9610707759857178,1.0155318975448608,0.8990464210510254,1.2532278299331665
9,0.9645222425460815,0.9514167308807373,0.9172885417938232,1.1382534503936768
10,0.9664887189865112,0.8950300216674805,0.9276533722877502,1.0674103498458862
11,0.9666091203689575,0.8486498594284058,0.9075456261634827,1.0870572328567505
12,0.9686559438705444,0.8063461184501648,0.9170812368392944,1.0521560907363892
13,0.9730304479598999,0.759695291519165,0.9214345216751099,1.0093635320663452
14,0.9717462062835693,0.7276499271392822,0.9214345216751099,0.9215508103370667
15,0.9737929701805115,0.6919547319412231,0.9114842414855957,0.9476675391197205
16,0.9749568700790405,0.6578812599182129,0.9156301617622375,0.9058218598365784
17,0.9768832325935364,0.6286484599113464,0.9220563769340515,0.8729400038719177
18,0.9763213992118835,0.6049383282661438,0.9143863916397095,0.8646482229232788
19,0.9777260422706604,0.5772814750671387,0.9148010015487671,0.8794220685958862
20,0.9784484505653381,0.5514686107635498,0.9087893962860107,0.9411241412162781
21,0.9855118989944458,0.5224765539169312,0.926616907119751,0.8058887720108032
22,0.9873179197311401,0.5122854113578796,0.9210199117660522,0.855715811252594
23,0.9877192378044128,0.5062373876571655,0.9255804419517517,0.8040074110031128
24,0.988401472568512,0.5017805099487305,0.9286898970603943,0.7690153121948242
25,0.9894449710845947,0.49569082260131836,0.9297263622283936,0.8084607720375061
26,0.9891639947891235,0.48921966552734375,0.9315920472145081,0.7639225721359253
27,0.9894047975540161,0.48406755924224854,0.9297263622283936,0.8065513372421265
28,0.9890034794807434,0.47994574904441833,0.9313847422599792,0.7734657526016235
29,0.9907693266868591,0.4734655022621155,0.9299336671829224,0.7988841533660889
30,0.9917727112770081,0.46999478340148926,0.9284825921058655,0.7992485165596008
31,0.9925352334976196,0.46878892183303833,0.9291045069694519,0.7968047857284546
32,0.9923345446586609,0.46817007660865784,0.9288972020149231,0.800142765045166
33,0.9924148321151733,0.4687950313091278,0.9282752871513367,0.8017706274986267
34,0.991451621055603,0.4687366783618927,0.9284825921058655,0.8066735863685608
35,0.9918931126594543,0.46877211332321167,0.9295190572738647,0.7959529161453247
36,0.9910904169082642,0.4702104330062866,0.9286898970603943,0.8059325814247131
37,0.9917325377464294,0.46730512380599976,0.9286898970603943,0.810049295425415
38,0.9918931126594543,0.46765828132629395,0.9293117523193359,0.7971866726875305
39,0.9916121363639832,0.4682857096195221,0.9291045069694519,0.7985190749168396
40,0.9917325377464294,0.46762967109680176,0.9293117523193359,0.8035125732421875
41,0.9924148321151733,0.4652901291847229,0.9282752871513367,0.8100188374519348
42,0.9920937418937683,0.46653151512145996,0.9297263622283936,0.8001640439033508
43,0.9912509322166443,0.4679001569747925,0.9286898970603943,0.8086758852005005
44,0.9926154613494873,0.4644049406051636,0.9309701323509216,0.7988862991333008
45,0.9917727112770081,0.4656817317008972,0.9309701323509216,0.7930538654327393
46,0.9924148321151733,0.4656996428966522,0.9282752871513367,0.8061010241508484
