epoch,accuracy,loss,val_accuracy,val_loss
0,0.6293694972991943,1.0572400093078613,0.7837893962860107,0.5658661127090454
1,0.7463980317115784,0.6923412084579468,0.8034825921058655,0.5141713619232178
2,0.7756150364875793,0.6102109551429749,0.8208954930305481,0.4597947895526886
3,0.792390763759613,0.5663120150566101,0.8289800882339478,0.44402119517326355
4,0.8043103218078613,0.5327805280685425,0.8208954930305481,0.4502292573451996
5,0.8141429424285889,0.5042337775230408,0.8395522236824036,0.41069626808166504
6,0.8208853602409363,0.48648253083229065,0.832504153251648,0.426063597202301
7,0.8281896114349365,0.47106656432151794,0.8248341679573059,0.4331251084804535
8,0.84059077501297,0.43255943059921265,0.8383084535598755,0.4185188114643097
9,0.8450856804847717,0.42207393050193787,0.8362354636192322,0.4177969694137573
10,0.8482963442802429,0.4187363088130951,0.8387230634689331,0.4168756306171417
11,0.8479752540588379,0.41562148928642273,0.8378938436508179,0.41317135095596313
12,0.8486976623535156,0.4112144410610199,0.8387230634689331,0.41419360041618347
13,0.8489384651184082,0.4134465157985687,0.8385157585144043,0.41618525981903076
14,0.8478950262069702,0.41309019923210144,0.8381011486053467,0.4163549244403839
15,0.8501023650169373,0.41072049736976624,0.8385157585144043,0.41630518436431885
16,0.8516675233840942,0.4105907082557678,0.8385157585144043,0.41610127687454224
17,0.8475338220596313,0.414774090051651,0.8387230634689331,0.41634318232536316
18,0.8464502096176147,0.413565069437027,0.8391376733779907,0.4165133833885193
19,0.8483364582061768,0.41642552614212036,0.8389303684234619,0.4163776934146881
20,0.8495003581047058,0.41464608907699585,0.8389303684234619,0.4165436923503876
21,0.8469719290733337,0.4133455157279968,0.8391376733779907,0.41623973846435547
22,0.8490588665008545,0.40953731536865234,0.8395522236824036,0.41576310992240906
23,0.8494200706481934,0.41088828444480896,0.8397595286369324,0.41543129086494446
24,0.8497009873390198,0.4095725417137146,0.8395522236824036,0.41579470038414
25,0.8513866066932678,0.40805646777153015,0.8389303684234619,0.4159504771232605
