,precision,recall,f1-score,support
LDPE,0.7284768211920529,0.7333333333333333,0.7308970099667774,600.0
PLA,0.9407051282051282,0.9767054908485857,0.9583673469387755,601.0
PP,0.8994082840236687,0.7587354409317804,0.8231046931407943,601.0
PS,0.9279588336192109,0.9001663893510815,0.9138513513513513,601.0
PVC,0.9311740890688259,0.7653910149750416,0.8401826484018264,601.0
XPS,1.0,0.9485049833887044,0.9735720375106565,602.0
oxo-PE,0.8017118402282454,0.9320066334991708,0.8619631901840491,603.0
uv-PE,0.7138927097661623,0.8621262458471761,0.781038374717833,602.0
accuracy,0.8596965287881937,0.8596965287881937,0.8596965287881937,0.8596965287881937
macro avg,0.8679159632629118,0.8596211915218592,0.8603720815265079,4811.0
weighted avg,0.8679128644641677,0.8596965287881937,0.8604066946086217,4811.0
