epoch,accuracy,loss,val_accuracy,val_loss
0,0.7422241568565369,0.7220870852470398,0.8279436230659485,0.469681978225708
1,0.823172926902771,0.49057573080062866,0.8333333134651184,0.469693660736084
2,0.8412328958511353,0.43013209104537964,0.833747923374176,0.4484184980392456
3,0.8578079342842102,0.3905045986175537,0.8538557291030884,0.3912002146244049
4,0.8664767146110535,0.3617362380027771,0.8534411191940308,0.4262932240962982
5,0.8731789588928223,0.34436649084091187,0.8679519295692444,0.3791969418525696
6,0.8789982795715332,0.32991042733192444,0.8565505743026733,0.42433813214302063
7,0.8844965100288391,0.31491267681121826,0.8586235642433167,0.41945093870162964
8,0.8983826041221619,0.27365782856941223,0.864635169506073,0.4168393015861511
9,0.9060882329940796,0.25991132855415344,0.8700248599052429,0.4048829674720764
10,0.9077737927436829,0.2558547556400299,0.8660862445831299,0.4183535575866699
11,0.908777117729187,0.2506960928440094,0.8654643297195435,0.41911107301712036
12,0.9109042286872864,0.24852533638477325,0.8665008544921875,0.4170111417770386
13,0.9110647439956665,0.24798044562339783,0.8658789396286011,0.4178127646446228
14,0.9103824496269226,0.24807463586330414,0.8660862445831299,0.4201907217502594
15,0.9113055467605591,0.2481987327337265,0.8658789396286011,0.4202975928783417
16,0.9116265773773193,0.2479238659143448,0.8652570247650146,0.42103469371795654
17,0.9147168397903442,0.24406081438064575,0.8662935495376587,0.4196890592575073
18,0.9098607301712036,0.2488129884004593,0.8660862445831299,0.4203767478466034
19,0.9104627370834351,0.24745219945907593,0.8652570247650146,0.4216972887516022
20,0.9094995260238647,0.2479199767112732,0.8656716346740723,0.4221925139427185
21,0.9111449718475342,0.24638240039348602,0.8662935495376587,0.41950690746307373
22,0.9118272662162781,0.2472783327102661,0.8648424744606018,0.422097384929657
23,0.9092587232589722,0.24595385789871216,0.8652570247650146,0.42198994755744934
24,0.9153590202331543,0.24255934357643127,0.8660862445831299,0.4216229021549225
25,0.9105831384658813,0.24635781347751617,0.8656716346740723,0.42214953899383545
