,precision,recall,f1-score,support
LDPE,0.7987421383647799,0.635,0.7075208913649025,600.0
PLA,0.9248826291079812,0.9833610648918469,0.9532258064516129,601.0
PP,0.8623481781376519,0.7088186356073212,0.7780821917808219,601.0
PS,0.8932874354561101,0.8635607321131448,0.8781725888324873,601.0
PVC,0.8869731800766284,0.7703826955074875,0.8245770258236865,601.0
XPS,0.9531772575250836,0.946843853820598,0.95,602.0
oxo-PE,0.7903225806451613,0.8938640132669984,0.8389105058365759,603.0
uv-PE,0.6075794621026895,0.8255813953488372,0.7,602.0
accuracy,0.8285179796300145,0.8285179796300145,0.8285179796300145,0.8285179796300145
macro avg,0.8396641076770108,0.8284265488195293,0.8288111262612609,4811.0
weighted avg,0.83962745571682,0.8285179796300145,0.8288389513998027,4811.0
