,precision,recall,f1-score,support
LDPE,0.64171974522293,0.6716666666666666,0.6563517915309446,600.0
PLA,0.7879656160458453,0.9151414309484193,0.8468052347959969,601.0
PP,0.6671899529042387,0.7071547420965059,0.6865912762520194,601.0
PS,0.9094269870609981,0.8186356073211315,0.861646234676007,601.0
PVC,0.8825503355704698,0.8752079866888519,0.8788638262322472,601.0
XPS,0.9866220735785953,0.9800664451827242,0.9833333333333333,602.0
oxo-PE,0.8237129485179407,0.8756218905472637,0.8488745980707395,603.0
uv-PE,0.6546610169491526,0.5132890365448505,0.5754189944134078,602.0
accuracy,0.7946372895447932,0.7946372895447932,0.7946372895447932,0.7946372895447932
macro avg,0.7942310844812712,0.7945979757495517,0.792235661163087,4811.0
weighted avg,0.7942860202511522,0.7946372895447932,0.7922821053012845,4811.0
